circuito_id,mesa_id,anomaly_score,anomalia
00904,275,1.2000000000000002,"votos_no_positivos_anomalo, asistencia_anomala, intercargo_anomalo, paso_anomalo"
00904,276,0.7,"asistencia_anomala, intercargo_anomalo"
00904,296,0.7,"asistencia_anomala, intercargo_anomalo"
00905,324,1.2000000000000002,"votos_no_positivos_anomalo, asistencia_anomala, intercargo_anomalo, paso_anomalo"
00905,331,0.7,"asistencia_anomala, intercargo_anomalo"
00908,347,0.7,"asistencia_anomala, intercargo_anomalo"
00913,19,0.7999999999999999,"asistencia_anomala, intercargo_anomalo, paso_anomalo"
00913,21,0.7,"asistencia_anomala, intercargo_anomalo"
00913,90,0.7999999999999999,"asistencia_anomala, intercargo_anomalo, paso_anomalo"
00913,117,0.6000000000000001,"votos_no_positivos_anomalo, asistencia_anomala"
01014,64,0.5,intercargo_anomalo
01014,65,0.5,intercargo_anomalo
01014,75,0.7999999999999999,"asistencia_anomala, intercargo_anomalo, paso_anomalo"
01014,112,0.5,intercargo_anomalo
01014,127,0.9,"votos_no_positivos_anomalo, intercargo_anomalo"
01018,243,0.7999999999999999,"asistencia_anomala, intercargo_anomalo, paso_anomalo"
01018,253,0.7,"asistencia_anomala, intercargo_anomalo"
01021,289,0.7,"asistencia_anomala, intercargo_anomalo"
0496B,441,0.6,"resultado_anomalo, totales_diferentes, paso_anomalo"
0496B,445,0.7,"intercargo_anomalo, totales_diferentes"
0496B,457,0.7,"intercargo_anomalo, totales_diferentes"
0496D,524,0.9999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes, paso_anomalo"
0505A,1327,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0508C,1451,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0508C,1460,0.5,"asistencia_anomala, totales_diferentes, paso_anomalo"
0508E,1514,0.5,"asistencia_anomala, totales_diferentes, paso_anomalo"
0711C,117,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0711D,147,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0711E,193,0.9999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes, paso_anomalo"
0748B,125,0.7000000000000001,"votos_no_positivos_anomalo, totales_diferentes, paso_anomalo"
0748C,166,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0748D,210,0.9999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes, paso_anomalo"
0748D,214,0.7000000000000001,"votos_no_positivos_anomalo, totales_diferentes, paso_anomalo"
0748D,220,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0901A,99,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0901A,111,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0901B,137,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0901B,150,0.6000000000000001,"votos_no_positivos_anomalo, totales_diferentes"
0901B,163,0.8999999999999999,"asistencia_anomala, intercargo_anomalo, totales_diferentes"
0901B,175,1.3,"votos_no_positivos_anomalo, asistencia_anomala, intercargo_anomalo, totales_diferentes"
