año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,porcentaje
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,13,Bolívar,00125,00125,62,NATIVOS,351,2,SENADOR NACIONAL,0,,,,EN BLANCO,75,286,21.367521367521366
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,21,Carmen de Areco,00175,00175,24,NATIVOS,352,2,SENADOR NACIONAL,0,,,,EN BLANCO,131,351,37.215909090909086
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,40,General Alvear,00310,00310,10,NATIVOS,348,2,SENADOR NACIONAL,0,,,,EN BLANCO,73,297,20.977011494252874
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0508C,0508C,1444,NATIVOS,352,2,SENADOR NACIONAL,0,,,,EN BLANCO,74,276,21.022727272727273
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00711,00711,18,NATIVOS,350,2,SENADOR NACIONAL,0,,,,EN BLANCO,96,350,27.42857142857143
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00712,00712,292,NATIVOS,14,2,SENADOR NACIONAL,0,,,,EN BLANCO,3,5,21.428571428571427
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,0748B,0748B,125,NATIVOS,350,2,SENADOR NACIONAL,0,,,,EN BLANCO,87,278,24.857142857142858
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,93,Ramallo,00798,00798,54,NATIVOS,351,2,SENADOR NACIONAL,0,,,,EN BLANCO,78,303,22.22222222222222
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,93,Ramallo,00800,00800,74,NATIVOS,350,2,SENADOR NACIONAL,0,,,,EN BLANCO,111,276,31.71428571428571
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,102,San Andrés de Giles,00860,00860,4,NATIVOS,348,2,SENADOR NACIONAL,0,,,,EN BLANCO,71,293,20.402298850574713
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,102,San Andrés de Giles,00860,00860,19,NATIVOS,349,2,SENADOR NACIONAL,0,,,,EN BLANCO,79,281,22.636103151862464
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,0901B,0901B,175,NATIVOS,350,2,SENADOR NACIONAL,0,,,,EN BLANCO,94,329,26.857142857142858
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,00905,00905,324,NATIVOS,353,2,SENADOR NACIONAL,0,,,,EN BLANCO,75,267,21.246458923512748
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,78,NATIVOS,351,2,SENADOR NACIONAL,0,,,,EN BLANCO,72,295,20.51282051282051
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,2,SENADOR NACIONAL,0,,,,EN BLANCO,106,352,30.02832861189802
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,125,Zárate,01014,01014,127,NATIVOS,350,2,SENADOR NACIONAL,0,,,,EN BLANCO,85,307,24.285714285714285
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,13,Bolívar,00125,00125,62,NATIVOS,351,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,76,286,21.65242165242165
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,21,Carmen de Areco,00175,00175,24,NATIVOS,352,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,130,351,36.93181818181818
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,40,General Alvear,00310,00310,10,NATIVOS,348,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,73,297,20.977011494252874
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0508C,0508C,1444,NATIVOS,352,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,75,276,21.306818181818183
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,84,Olavarría,00712,00712,292,NATIVOS,14,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,3,5,21.428571428571427
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,0748B,0748B,125,NATIVOS,350,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,86,278,24.571428571428573
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,93,Ramallo,00798,00798,54,NATIVOS,351,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,78,303,22.22222222222222
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,93,Ramallo,00800,00800,74,NATIVOS,350,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,114,276,32.57142857142858
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,99,Saladillo,00846,00846,71,NATIVOS,352,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,80,316,22.727272727272727
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,102,San Andrés de Giles,00860,00860,4,NATIVOS,348,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,72,293,20.689655172413794
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,102,San Andrés de Giles,00860,00860,19,NATIVOS,349,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,78,281,22.349570200573066
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,102,San Andrés de Giles,00860,00860,23,NATIVOS,351,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,71,276,20.22792022792023
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,00905,00905,324,NATIVOS,353,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,74,267,20.96317280453258
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,78,NATIVOS,351,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,72,296,20.51282051282051
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,3,DIPUTADO NACIONAL,0,,,,EN BLANCO,106,352,30.02832861189802
