año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,votos_positivos,promedio_asistencia_circuito,diferencia_asistencia,z_score_diferencia_asistencia
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,148,NATIVOS,350,9,PARLAMENTO MERCOSUR REGIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,66,97.71428571428571,305.0,77.75300884583902,19.96127686844669,5.566190132347274
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,148,NATIVOS,350,9,PARLAMENTO MERCOSUR REGIONAL,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,66,97.71428571428571,305.0,77.75300884583902,19.96127686844669,5.566190132347274
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,148,NATIVOS,350,9,PARLAMENTO MERCOSUR REGIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,82,97.71428571428571,305.0,77.75300884583902,19.96127686844669,5.566190132347274
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,6,Azul,00060,00060,148,NATIVOS,350,9,PARLAMENTO MERCOSUR REGIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,91,97.71428571428571,305.0,77.75300884583902,19.96127686844669,5.566190132347274
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,37,Exaltación de la Cruz,00293,00293,50,NATIVOS,352,8,PARLAMENTO MERCOSUR NACIONAL,134,UNION POR LA PATRIA,,,POSITIVO,112,98.57954545454545,281.0,78.79446748181459,19.78507797273086,5.51705717551653
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,37,Exaltación de la Cruz,00293,00293,50,NATIVOS,352,8,PARLAMENTO MERCOSUR NACIONAL,135,LA LIBERTAD AVANZA,,,POSITIVO,101,98.57954545454545,281.0,78.79446748181459,19.78507797273086,5.51705717551653
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,37,Exaltación de la Cruz,00293,00293,50,NATIVOS,352,8,PARLAMENTO MERCOSUR NACIONAL,132,JUNTOS POR EL CAMBIO,,,POSITIVO,57,98.57954545454545,281.0,78.79446748181459,19.78507797273086,5.51705717551653
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,37,Exaltación de la Cruz,00293,00293,50,NATIVOS,352,8,PARLAMENTO MERCOSUR NACIONAL,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,6,98.57954545454545,281.0,78.79446748181459,19.78507797273086,5.51705717551653
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,37,Exaltación de la Cruz,00293,00293,50,NATIVOS,352,8,PARLAMENTO MERCOSUR NACIONAL,133,HACEMOS POR NUESTRO PAIS,,,POSITIVO,5,98.57954545454545,281.0,78.79446748181459,19.78507797273086,5.51705717551653
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,0901B,0901B,137,NATIVOS,346,1,PRESIDENTE Y VICE,135,LA LIBERTAD AVANZA,,,POSITIVO,90,99.71098265895954,322.0,80.1712066754881,19.539775983471444,5.44865486232487
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,0901B,0901B,137,NATIVOS,346,1,PRESIDENTE Y VICE,132,JUNTOS POR EL CAMBIO,,,POSITIVO,77,99.71098265895954,322.0,80.1712066754881,19.539775983471444,5.44865486232487
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,0901B,0901B,137,NATIVOS,346,1,PRESIDENTE Y VICE,134,UNION POR LA PATRIA,,,POSITIVO,76,99.71098265895954,322.0,80.1712066754881,19.539775983471444,5.44865486232487
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,0901B,0901B,137,NATIVOS,346,1,PRESIDENTE Y VICE,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,68,99.71098265895954,322.0,80.1712066754881,19.539775983471444,5.44865486232487
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,107,San Nicolás,0901B,0901B,137,NATIVOS,346,1,PRESIDENTE Y VICE,133,HACEMOS POR NUESTRO PAIS,,,POSITIVO,11,99.71098265895954,322.0,80.1712066754881,19.539775983471444,5.44865486232487
