circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_paso,diferencia_absoluta,z_score_diferencia
00117,47,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,109,109,5.465931189462456
00117,47,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,0,72,72,3.316521559782449
00117,47,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,86,86,4.129811689931641
00117,47,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,82,82,3.897443081317586
00117,47,UNION POR LA PATRIA,SENADOR NACIONAL,0,86,86,4.129811689931641
00118,75,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,88,88,4.245995994238668
00118,75,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,90,90,4.362180298545695
00118,75,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,89,89,4.304088146392182
00118,75,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,74,74,3.4327058640894763
00118,75,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,78,78,3.665074472703531
00118,75,UNION POR LA PATRIA,SENADOR NACIONAL,0,76,76,3.548890168396504
00125,15,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,84,0,84,4.013627385624614
00125,15,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,76,0,76,3.548890168396504
00125,15,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,83,0,83,3.9555352334710996
00125,15,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,79,0,79,3.7231666248570447
00125,15,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,99,0,99,4.885009667927319
00125,15,LA LIBERTAD AVANZA,SENADOR NACIONAL,80,0,80,3.781258777010559
00125,15,UNION POR LA PATRIA,DIPUTADO NACIONAL,73,0,73,3.3746137119359627
00125,15,UNION POR LA PATRIA,PRESIDENTE Y VICE,81,0,81,3.8393509291640724
00125,15,UNION POR LA PATRIA,SENADOR NACIONAL,73,0,73,3.3746137119359627
00125,47,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,97,0,97,4.768825363620292
00125,47,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,93,0,93,4.5364567550062365
00125,47,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,98,0,98,4.826917515773805
00125,47,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,73,0,73,3.3746137119359627
00125,47,UNION POR LA PATRIA,DIPUTADO NACIONAL,92,0,92,4.478364602852723
00125,47,UNION POR LA PATRIA,PRESIDENTE Y VICE,96,0,96,4.710733211466778
00125,47,UNION POR LA PATRIA,SENADOR NACIONAL,92,0,92,4.478364602852723
00125,60,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,103,0,103,5.117378276541373
00125,60,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,98,0,98,4.826917515773805
00125,60,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,103,0,103,5.117378276541373
00125,60,LA LIBERTAD AVANZA,DIPUTADO NACIONAL,74,0,74,3.4327058640894763
00125,60,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,89,0,89,4.304088146392182
00125,60,LA LIBERTAD AVANZA,SENADOR NACIONAL,74,0,74,3.4327058640894763
00175,20,UNION POR LA PATRIA,DIPUTADO NACIONAL,103,0,103,5.117378276541373
00230,7,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,91,0,91,4.420272450699209
00230,7,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,87,0,87,4.187903842085155
00230,7,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,90,0,90,4.362180298545695
00230,7,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,72,0,72,3.316521559782449
00230,7,UNION POR LA PATRIA,DIPUTADO NACIONAL,93,0,93,4.5364567550062365
