Country,Type,Type
Papua New Guinea,Invalid,2
Papua Nueva Guinea,Unprovoked,8
Paraguay,Unprovoked,1
People's Republic of China,Unprovoked,5
People's Republic of China,Provoked,3
People's Republic of China,Sea Disaster,1
Persian Gulf,Unprovoked,3
Persian Gulf,Sea Disaster,1
Peru,Unprovoked,2
Philippines,Unprovoked,32
Philippines,Sea Disaster,26
Philippines,Invalid,4
Philippines,Provoked,2
Portugal,Watercraft,4
Portugal,Provoked,3
Portugal,Invalid,2
Puerto Rico,Unprovoked,1
Red Sea,Unprovoked,2
Red Sea,Sea Disaster,1
Republic of Ireland,Provoked,1
Republic of Ireland,Sea Disaster,1
Russia,Unprovoked,4
Saint Kitts and Nevis,Invalid,2
Saint Kitts and Nevis,Unprovoked,1
Samoa,Unprovoked,7
Samoa,Provoked,1
Samoa,Sea Disaster,1
Samoa,Watercraft,1
Saudi Arabia,Unprovoked,4
Saudi Arabia,Invalid,1
Senegal,Unprovoked,6
Senegal,Invalid,2
Senegal,Provoked,2
Senegal,Sea Disaster,1
Seychelles,Unprovoked,9
Seychelles,Invalid,1
Sierra Leone,Unprovoked,7
Sierra Leone,Sea Disaster,2
Singapore,Unprovoked,6
Slovenia,Unprovoked,1
Slovenia,Watercraft,1
Solomon Islands,Unprovoked,21
Solomon Islands,Sea Disaster,8
Solomon Islands,Provoked,1
Somalia,Unprovoked,4
Somalia,Invalid,1
Somalia,Provoked,1
South Africa,Unprovoked,414
South Africa,Invalid,66
South Africa,Provoked,57
South Africa,Watercraft,55
South Africa,Sea Disaster,5
South China Sea,Unprovoked,1
South Korea,Unprovoked,9
Spain,Unprovoked,30
Spain,Invalid,10
Spain,Provoked,5
Spain,Watercraft,1
Sri Lanka,Unprovoked,14
Sri Lanka,Invalid,2
Sri Lanka,Sea Disaster,1
St. Martin,Unprovoked,2
St. Martin,Watercraft,1
State of Palestine,Provoked,1
Sudan,Provoked,2
Sudan,Unprovoked,2
Sudan,Sea Disaster,1
Sweden,Unprovoked,1
Syria,Invalid,1
São Tomé and Príncipe,Unprovoked,1
Taiwan,Unprovoked,6
Taiwan,Provoked,2
Taiwan,Sea Disaster,1
Tanzania,Unprovoked,6
Tanzania,Invalid,1
Tanzania,Provoked,1
Thailand,Unprovoked,10
Thailand,Provoked,2
The Bahamas,Unprovoked,102
The Bahamas,Provoked,18
The Bahamas,Invalid,7
The Bahamas,Sea Disaster,5
The Bahamas,Watercraft,1
Tonga,Unprovoked,12
Tonga,Invalid,2
Tonga,Provoked,2
Tonga,Sea Disaster,2
Trinidad and Tobago,Unprovoked,3
Trinidad and Tobago,Invalid,1
Trinidad and Tobago,Provoked,1
Tunisia,Unprovoked,3
Turkey,Watercraft,6
Turkey,Unprovoked,4
Turkey,Invalid,1
Turkey,Provoked,1
Tuvalu,Sea Disaster,1
United Arab Emirates,Unprovoked,2
United Arab Emirates,Invalid,1
